PRODUCT_ID,PRODUCT,TYPE,UNIT PRICE,UNIT,QTY,TOTAL SALES,CURRENCY,STORE,COUNTRY,YEAR
1,banana,fruits,0.5,kg,3024,1512.0,EUR,Store A,Germany,2019
2,apple,fruits,0.7,kg,26547,20094.9,EUR,Store A,Germany,2019
3,pear,fruits,0.6,kg,3567,22235.1,EUR,Store A,Germany,2019
4,grapes,fruits,1.2,kg,28981,57012.3,EUR,Store A,Germany,2019
5,orange,fruits,0.8,kg,18125,71512.3,EUR,Store A,Germany,2019
6,kiwi,fruits,0.9,piece,63973,129088.0,EUR,Store A,Germany,2019
7,watermelon,fruits,5.0,kg,21598,237078.0,EUR,Store A,Germany,2019
8,pomegranate,fruits,2.5,kg,66247,402695.5,EUR,Store A,Germany,2019
9,pineapple,fruits,1.5,piece,76172,516953.5,EUR,Store A,Germany,2019
10,mango,fruits,2.0,piece,55194,627341.5,EUR,Store A,Germany,2019
11,cucumber,vegetables,0.4,piece,8668,630808.7,EUR,Store A,Germany,2019
12,carrot,vegetables,0.3,kg,21449,637243.4,EUR,Store A,Germany,2019
13,capsicum,vegetables,0.5,kg,75625,675055.9,EUR,Store A,Germany,2019
14,onion,vegetables,0.2,kg,12646,677585.1,EUR,Store A,Germany,2019
15,potato,vegetables,0.3,kg,26239,685456.8,EUR,Store A,Germany,2019
16,lemon,vegetables,0.4,kg,48459,704840.4,EUR,Store A,Germany,2019
17,tomato,vegetables,0.6,kg,52616,736410.0,EUR,Store A,Germany,2019
18,raddish,vegetables,0.3,kg,13031,740319.3,EUR,Store A,Germany,2019
19,beetroot,vegetables,0.4,kg,25428,750490.5,EUR,Store A,Germany,2019
20,cabbage,vegetables,0.5,piece,17242,759111.5,EUR,Store A,Germany,2019
21,lettuce,vegetables,0.6,piece,16353,768923.3,EUR,Store A,Germany,2019
22,spinach,vegetables,0.7,kg,3955,771691.8,EUR,Store A,Germany,2019
23,soy bean,vegetables,0.8,kg,10888,780402.2,EUR,Store A,Germany,2019
24,cauliflower,vegetables,0.6,piece,78630,827580.2,EUR,Store A,Germany,2019
25,bell pepper,vegetables,0.7,kg,64654,872838.0,EUR,Store A,Germany,2019
26,chilli pepper,vegetables,0.5,kg,2866,874271.0,EUR,Store A,Germany,2019
27,turnip,vegetables,0.4,kg,25441,884447.4,EUR,Store A,Germany,2019
28,corn,vegetables,0.3,kg,403,884568.3,EUR,Store A,Germany,2019
29,sweetcorn,vegetables,0.4,kg,21997,893367.1,EUR,Store A,Germany,2019
30,sweet potato,vegetables,0.5,kg,3413,895073.6,EUR,Store A,Germany,2019
31,paprika,vegetables,2.0,kg,40395,975863.6,EUR,Store A,Germany,2019
32,jalepeno,vegetables,2.0,kg,35084,1046031.6,EUR,Store A,Germany,2019
33,ginger,vegetables,1.5,kg,5003,1053536.1,EUR,Store A,Germany,2019
34,garlic,vegetables,1.5,kg,24226,1089875.1,EUR,Store A,Germany,2019
