PRODUCT_ID,PRODUCT,TYPE,UNIT PRICE,UNIT,QTY,TOTAL SALES,CURRENCY,STORE,COUNTRY,YEAR
1,banana,fruits,0.4855,kg,6556,3182.94,EUR,Store A,Switzerland,2019
2,apple,fruits,0.6797,kg,7699,8415.95,EUR,Store A,Switzerland,2019
3,pear,fruits,0.5826,kg,114,8482.36,EUR,Store A,Switzerland,2019
4,grapes,fruits,1.1652,kg,11984,22446.12,EUR,Store A,Switzerland,2019
5,orange,fruits,0.7768,kg,17972,36406.77,EUR,Store A,Switzerland,2019
6,kiwi,fruits,0.8739,piece,5345,41077.77,EUR,Store A,Switzerland,2019
7,watermelon,fruits,4.8549999999999995,kg,25752,166103.73,EUR,Store A,Switzerland,2019
8,pomegranate,fruits,2.4274999999999998,kg,2385,171893.31,EUR,Store A,Switzerland,2019
9,pineapple,fruits,1.4565,piece,547,172690.02,EUR,Store A,Switzerland,2019
10,mango,fruits,1.942,piece,10505,193090.73,EUR,Store A,Switzerland,2019
11,cucumber,vegetables,0.3884,piece,1883,193822.09,EUR,Store A,Switzerland,2019
12,carrot,vegetables,0.2913,kg,2416,194525.87,EUR,Store A,Switzerland,2019
13,capsicum,vegetables,0.4855,kg,28977,208594.2,EUR,Store A,Switzerland,2019
14,onion,vegetables,0.1942,kg,705,208731.11,EUR,Store A,Switzerland,2019
15,potato,vegetables,0.2913,kg,12568,212392.17,EUR,Store A,Switzerland,2019
16,lemon,vegetables,0.3884,kg,5179,214403.69,EUR,Store A,Switzerland,2019
17,tomato,vegetables,0.5826,kg,19613,225830.23,EUR,Store A,Switzerland,2019
18,raddish,vegetables,0.2913,kg,2803,226646.74,EUR,Store A,Switzerland,2019
19,beetroot,vegetables,0.3884,kg,17263,233351.69,EUR,Store A,Switzerland,2019
20,cabbage,vegetables,0.4855,piece,514,233601.24,EUR,Store A,Switzerland,2019
21,lettuce,vegetables,0.5826,piece,9352,239049.71,EUR,Store A,Switzerland,2019
22,spinach,vegetables,0.6797,kg,14121,248647.76,EUR,Store A,Switzerland,2019
23,soy bean,vegetables,0.7768,kg,670,249168.21,EUR,Store A,Switzerland,2019
24,cauliflower,vegetables,0.5826,piece,28944,266030.99,EUR,Store A,Switzerland,2019
25,bell pepper,vegetables,0.6797,kg,26606,284115.09,EUR,Store A,Switzerland,2019
26,chilli pepper,vegetables,0.4855,kg,9363,288660.82,EUR,Store A,Switzerland,2019
27,turnip,vegetables,0.3884,kg,9610,292393.35,EUR,Store A,Switzerland,2019
28,corn,vegetables,0.2913,kg,10659,295498.31,EUR,Store A,Switzerland,2019
29,sweetcorn,vegetables,0.3884,kg,8729,298888.66,EUR,Store A,Switzerland,2019
30,sweet potato,vegetables,0.4855,kg,9681,303588.78,EUR,Store A,Switzerland,2019
31,paprika,vegetables,1.942,kg,1573,306643.55,EUR,Store A,Switzerland,2019
32,jalepeno,vegetables,1.942,kg,1147,308871.02,EUR,Store A,Switzerland,2019
33,ginger,vegetables,1.4565,kg,2257,312158.34,EUR,Store A,Switzerland,2019
