PRODUCTID,PRODUCT,TYPE,UNITPRICE,UNIT,QTY,TOTALSALES,CURRENCY,STORE,COUNTRY,YEAR
1,banana,fruits,11.78,kg,5219,61479.82,CZK,Store A,Czech Republic,2019
2,apple,fruits,16.491999999999997,kg,2492,102577.88,CZK,Store A,Czech Republic,2019
3,pear,fruits,14.136,kg,1182,119286.64,CZK,Store A,Czech Republic,2019
4,grapes,fruits,28.272,kg,244,126185.0,CZK,Store A,Czech Republic,2019
5,orange,fruits,18.848,kg,237,130651.98,CZK,Store A,Czech Republic,2019
6,kiwi,fruits,21.204,piece,1051,152937.38,CZK,Store A,Czech Republic,2019
7,watermelon,fruits,117.8,kg,918,261077.78,CZK,Store A,Czech Republic,2019
8,pomegranate,fruits,58.9,kg,4977,554223.08,CZK,Store A,Czech Republic,2019
9,pineapple,fruits,35.339999999999996,piece,2414,639533.84,CZK,Store A,Czech Republic,2019
10,mango,fruits,47.12,piece,1122,692402.48,CZK,Store A,Czech Republic,2019
11,cucumber,vegetables,9.424,piece,3303,723529.96,CZK,Store A,Czech Republic,2019
12,carrot,vegetables,7.068,kg,5558,762813.9,CZK,Store A,Czech Republic,2019
13,capsicum,vegetables,11.78,kg,1482,780271.86,CZK,Store A,Czech Republic,2019
14,onion,vegetables,4.712,kg,1152,785700.08,CZK,Store A,Czech Republic,2019
15,potato,vegetables,7.068,kg,244,787424.68,CZK,Store A,Czech Republic,2019
16,lemon,vegetables,9.424,kg,2777,813595.12,CZK,Store A,Czech Republic,2019
17,tomato,vegetables,14.136,kg,1551,835520.06,CZK,Store A,Czech Republic,2019
18,raddish,vegetables,7.068,kg,1630,847040.9,CZK,Store A,Czech Republic,2019
19,beetroot,vegetables,9.424,kg,1888,864833.41,CZK,Store A,Czech Republic,2019
20,cabbage,vegetables,11.78,piece,3746,908961.29,CZK,Store A,Czech Republic,2019
21,lettuce,vegetables,14.136,piece,2540,944866.73,CZK,Store A,Czech Republic,2019
22,spinach,vegetables,16.491999999999997,kg,773,957615.05,CZK,Store A,Czech Republic,2019
23,soy bean,vegetables,18.848,kg,535,967698.73,CZK,Store A,Czech Republic,2019
24,cauliflower,vegetables,14.136,piece,839,979558.83,CZK,Store A,Czech Republic,2019
25,bell pepper,vegetables,16.491999999999997,kg,4530,1054267.59,CZK,Store A,Czech Republic,2019
26,chilli pepper,vegetables,11.78,kg,4370,1105746.19,CZK,Store A,Czech Republic,2019
27,turnip,vegetables,9.424,kg,1870,1123369.07,CZK,Store A,Czech Republic,2019
28,corn,vegetables,7.068,kg,5320,1160970.83,CZK,Store A,Czech Republic,2019
29,sweetcorn,vegetables,9.424,kg,3760,1196405.07,CZK,Store A,Czech Republic,2019
30,sweet potato,vegetables,11.78,kg,857,1206500.53,CZK,Store A,Czech Republic,2019
31,paprika,vegetables,47.12,kg,2918,1343996.69,CZK,Store A,Czech Republic,2019
32,jalepeno,vegetables,47.12,kg,1082,1394980.53,CZK,Store A,Czech Republic,2019
33,ginger,vegetables,35.339999999999996,kg,1411,1444845.27,CZK,Store A,Czech Republic,2019
34,garlic,vegetables,35.339999999999996,kg,658,1468098.99,CZK,Store A,Czech Republic,2019
35,peas,vegetables,70.67999999999999,kg,1832,1597584.75,CZK,Store A,Czech Republic,2019
36,eggplant,vegetables,35.339999999999996,kg,3723,1729155.57,CZK,Store A,Czech Republic,2019
1,banana,fruits,11.78,kg,791,9317.98,CZK,Store B,Czech Republic,2019
2,apple,fruits,16.491999999999997,kg,1711,37535.79,CZK,Store B,Czech Republic,2019
3,pear,fruits,14.136,kg,1120,53368.11,CZK,Store B,Czech Republic,2019
4,grapes,fruits,28.272,kg,1112,84806.58,CZK,Store B,Czech Republic,2019
5,orange,fruits,18.848,kg,3513,151019.6,CZK,Store B,Czech Republic,2019
6,kiwi,fruits,21.204,piece,1882,190925.53,CZK,Store B,Czech Republic,2019
7,watermelon,fruits,117.8,kg,3495,602636.53,CZK,Store B,Czech Republic,2019
8,pomegranate,fruits,58.9,kg,3243,793649.23,CZK,Store B,Czech Republic,2019
9,pineapple,fruits,35.339999999999996,piece,1368,841994.35,CZK,Store B,Czech Republic,2019
10,mango,fruits,47.12,piece,1239,900376.03,CZK,Store B,Czech Republic,2019
11,cucumber,vegetables,9.424,piece,1778,917131.9,CZK,Store B,Czech Republic,2019
12,carrot,vegetables,7.068,kg,62,917570.12,CZK,Store B,Czech Republic,2019
13,capsicum,vegetables,11.78,kg,3911,963641.7,CZK,Store B,Czech Republic,2019
14,onion,vegetables,4.712,kg,1310,969814.42,CZK,Store B,Czech Republic,2019
15,potato,vegetables,7.068,kg,5442,1008278.47,CZK,Store B,Czech Republic,2019
16,lemon,vegetables,9.424,kg,379,1011850.17,CZK,Store B,Czech Republic,2019
17,tomato,vegetables,14.136,kg,1782,1037040.52,CZK,Store B,Czech Republic,2019
18,raddish,vegetables,7.068,kg,3348,1060704.18,CZK,Store B,Czech Republic,2019
19,beetroot,vegetables,9.424,kg,2856,1087619.13,CZK,Store B,Czech Republic,2019
20,cabbage,vegetables,11.78,piece,413,1092484.27,CZK,Store B,Czech Republic,2019
21,lettuce,vegetables,14.136,piece,1224,1109786.73,CZK,Store B,Czech Republic,2019
22,spinach,vegetables,16.491999999999997,kg,137,1112046.14,CZK,Store B,Czech Republic,2019
23,soy bean,vegetables,18.848,kg,2079,1151231.13,CZK,Store B,Czech Republic,2019
24,cauliflower,vegetables,14.136,piece,105,1152715.41,CZK,Store B,Czech Republic,2019
25,bell pepper,vegetables,16.491999999999997,kg,1160,1171846.13,CZK,Store B,Czech Republic,2019
26,chilli pepper,vegetables,11.78,kg,1637,1191129.99,CZK,Store B,Czech Republic,2019
27,turnip,vegetables,9.424,kg,879,1199413.68,CZK,Store B,Czech Republic,2019
28,corn,vegetables,7.068,kg,1257,1208298.16,CZK,Store B,Czech Republic,2019
29,sweetcorn,vegetables,9.424,kg,1328,1220813.23,CZK,Store B,Czech Republic,2019
30,sweet potato,vegetables,11.78,kg,236,1223593.31,CZK,Store B,Czech Republic,2019
31,paprika,vegetables,47.12,kg,1286,1284189.63,CZK,Store B,Czech Republic,2019
32,jalepeno,vegetables,47.12,kg,1178,1339696.99,CZK,Store B,Czech Republic,2019
33,ginger,vegetables,35.339999999999996,kg,4941,1514311.93,CZK,Store B,Czech Republic,2019
34,garlic,vegetables,35.339999999999996,kg,2554,1604570.29,CZK,Store B,Czech Republic,2019
35,peas,vegetables,70.67999999999999,kg,1276,1694757.97,CZK,Store B,Czech Republic,2019
36,eggplant,vegetables,35.339999999999996,kg,1302,1740770.65,CZK,Store B,Czech Republic,2019
1,banana,fruits,11.78,kg,910,10719.8,CZK,Store C,Czech Republic,2019
2,apple,fruits,16.491999999999997,kg,658,21571.54,CZK,Store C,Czech Republic,2019
3,pear,fruits,14.136,kg,1191,38407.51,CZK,Store C,Czech Republic,2019
4,grapes,fruits,28.272,kg,1271,74341.22,CZK,Store C,Czech Republic,2019
5,orange,fruits,18.848,kg,1451,101689.67,CZK,Store C,Czech Republic,2019
6,kiwi,fruits,21.204,piece,664,115769.13,CZK,Store C,Czech Republic,2019
7,watermelon,fruits,117.8,kg,122,130140.73,CZK,Store C,Czech Republic,2019
8,pomegranate,fruits,58.9,kg,1560,222024.73,CZK,Store C,Czech Republic,2019
9,pineapple,fruits,35.339999999999996,piece,1070,259838.53,CZK,Store C,Czech Republic,2019
10,mango,fruits,47.12,piece,2301,368261.65,CZK,Store C,Czech Republic,2019
11,cucumber,vegetables,9.424,piece,1569,383047.9,CZK,Store C,Czech Republic,2019
12,carrot,vegetables,7.068,kg,3842,410203.16,CZK,Store C,Czech Republic,2019
13,capsicum,vegetables,11.78,kg,1358,426200.4,CZK,Store C,Czech Republic,2019
14,onion,vegetables,4.712,kg,5196,450683.95,CZK,Store C,Czech Republic,2019
15,potato,vegetables,7.068,kg,2368,467420.98,CZK,Store C,Czech Republic,2019
16,lemon,vegetables,9.424,kg,1916,485477.36,CZK,Store C,Czech Republic,2019
17,tomato,vegetables,14.136,kg,3892,540494.67,CZK,Store C,Czech Republic,2019
18,raddish,vegetables,7.068,kg,5121,576689.9,CZK,Store C,Czech Republic,2019
19,beetroot,vegetables,9.424,kg,720,583475.18,CZK,Store C,Czech Republic,2019
20,cabbage,vegetables,11.78,piece,1158,597116.42,CZK,Store C,Czech Republic,2019
21,lettuce,vegetables,14.136,piece,5486,674666.52,CZK,Store C,Czech Republic,2019
22,spinach,vegetables,16.491999999999997,kg,1922,706364.14,CZK,Store C,Czech Republic,2019
23,soy bean,vegetables,18.848,kg,2226,748319.79,CZK,Store C,Czech Republic,2019
24,cauliflower,vegetables,14.136,piece,1687,772167.22,CZK,Store C,Czech Republic,2019
25,bell pepper,vegetables,16.491999999999997,kg,1307,793722.26,CZK,Store C,Czech Republic,2019
26,chilli pepper,vegetables,11.78,kg,1388,810072.9,CZK,Store C,Czech Republic,2019
27,turnip,vegetables,9.424,kg,3289,841068.44,CZK,Store C,Czech Republic,2019
28,corn,vegetables,7.068,kg,5879,882621.21,CZK,Store C,Czech Republic,2019
29,sweetcorn,vegetables,9.424,kg,1645,898123.69,CZK,Store C,Czech Republic,2019
30,sweet potato,vegetables,11.78,kg,4551,951734.47,CZK,Store C,Czech Republic,2019
31,paprika,vegetables,47.12,kg,115,957153.27,CZK,Store C,Czech Republic,2019
32,jalepeno,vegetables,47.12,kg,1908,1047058.23,CZK,Store C,Czech Republic,2019
33,ginger,vegetables,35.339999999999996,kg,1886,1113709.47,CZK,Store C,Czech Republic,2019
