PRODUCTID,PRODUCT,TYPE,UNITPRICE,UNIT,QTY,TOTALSALES,CURRENCY,STORE,COUNTRY,YEAR
1,banana,fruits,0.5,kg,14711,7355.5,EUR,Store A,Germany,2019
2,apple,fruits,0.7,kg,2993,9450.6,EUR,Store A,Germany,2019
3,pear,fruits,0.6,kg,43633,35630.4,EUR,Store A,Germany,2019
4,grapes,fruits,1.2,kg,2719,38893.2,EUR,Store A,Germany,2019
5,orange,fruits,0.8,kg,10941,47646.0,EUR,Store A,Germany,2019
6,kiwi,fruits,0.9,piece,8459,55259.1,EUR,Store A,Germany,2019
7,watermelon,fruits,5.0,kg,4729,78904.1,EUR,Store A,Germany,2019
8,pomegranate,fruits,2.5,kg,53039,211501.6,EUR,Store A,Germany,2019
9,pineapple,fruits,1.5,piece,68150,313726.6,EUR,Store A,Germany,2019
10,mango,fruits,2.0,piece,20085,353896.6,EUR,Store A,Germany,2019
11,cucumber,vegetables,0.4,piece,38766,369403.0,EUR,Store A,Germany,2019
12,carrot,vegetables,0.3,kg,13001,373303.3,EUR,Store A,Germany,2019
13,capsicum,vegetables,0.5,kg,1861,374233.8,EUR,Store A,Germany,2019
14,onion,vegetables,0.2,kg,38209,381875.6,EUR,Store A,Germany,2019
15,potato,vegetables,0.3,kg,7062,383994.2,EUR,Store A,Germany,2019
16,lemon,vegetables,0.4,kg,12456,388976.6,EUR,Store A,Germany,2019
17,tomato,vegetables,0.6,kg,70560,431312.6,EUR,Store A,Germany,2019
18,raddish,vegetables,0.3,kg,21001,437612.9,EUR,Store A,Germany,2019
19,beetroot,vegetables,0.4,kg,17464,444598.5,EUR,Store A,Germany,2019
20,cabbage,vegetables,0.5,piece,33974,461585.5,EUR,Store A,Germany,2019
21,lettuce,vegetables,0.6,piece,2213,462913.3,EUR,Store A,Germany,2019
22,spinach,vegetables,0.7,kg,23658,479473.9,EUR,Store A,Germany,2019
23,soy bean,vegetables,0.8,kg,84299,546913.1,EUR,Store A,Germany,2019
24,cauliflower,vegetables,0.6,piece,89180,600421.1,EUR,Store A,Germany,2019
25,bell pepper,vegetables,0.7,kg,17728,612830.7,EUR,Store A,Germany,2019
26,chilli pepper,vegetables,0.5,kg,74390,650025.7,EUR,Store A,Germany,2019
27,turnip,vegetables,0.4,kg,16934,656799.3,EUR,Store A,Germany,2019
28,corn,vegetables,0.3,kg,74040,679011.3,EUR,Store A,Germany,2019
29,sweetcorn,vegetables,0.4,kg,19467,686798.1,EUR,Store A,Germany,2019
30,sweet potato,vegetables,0.5,kg,73926,723761.1,EUR,Store A,Germany,2019
31,paprika,vegetables,2.0,kg,7013,737787.1,EUR,Store A,Germany,2019
